Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2010,2017,2018,2020
ARE,United Arab Emirates,40963,"Harmonized Test Scores, Male",Score,428.23678588867205,439,438.72607421875,432.24313354492205
ARE,United Arab Emirates,40964,Learning-Adjusted Years of School,Years,8.79463577270508,9.49,9.71706390380859,9.64599704742432
ARE,United Arab Emirates,40965,"Learning-Adjusted Years of School, Female",Years,9.23565101623535,,9.77793025970459,9.76524543762207
ARE,United Arab Emirates,40966,"Learning-Adjusted Years of School, Male",Years,8.37106132507324,,9.630922317504881,9.48860931396484
ARE,United Arab Emirates,40967,Probability of Survival to Age 5,Probability,0.99152410030365,0.9909,0.99231743812561,0.9924111366271969
ARE,United Arab Emirates,40968,"Probability of Survival to Age 5, Female",Probability,0.9924570918083191,0.9919,0.993151426315308,0.9931998252868649
ARE,United Arab Emirates,40969,"Probability of Survival to Age 5, Male",Probability,0.990639686584473,0.9899,0.9915205836296078,0.991660356521606
ARG,Argentina,40884,Survival Rate from Age 15-60,Ratio,0.8763046264648441,0.889,0.885885715484619,0.888269186019897
ARG,Argentina,40885,"Survival Rate from Age 15-60, Female",Ratio,0.9131067395210269,0.9269,0.9197169542312621,0.9213179349899291
ARG,Argentina,40886,"Survival Rate from Age 15-60, Male",Ratio,0.838681995868683,0.8511,,0.854534029960632
ARG,Argentina,40887,Human Capital Index (HCI) (scale 0-1),Score,0.588557064533234,0.611,0.6173667311668399,0.602144718170166
ARG,Argentina,40888,"Human Capital Index (HCI), Female (scale 0-1)",Score,0.612291395664215,0.632,0.6277021169662479,0.6132794022560121
ARG,Argentina,40889,"Human Capital Index (HCI), Lower Bound (scale 0-1)",Score,0.5777002573013311,0.6,0.607228219509125,0.59166693687439
ARG,Argentina,40890,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",Score,0.600252389907837,0.622,0.6164897084236151,0.602137565612793
ARG,Argentina,40891,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",Score,0.554134130477905,0.578,0.593780279159546,0.578204154968262
ARG,Argentina,40892,"Human Capital Index (HCI), Male (scale 0-1)",Score,0.5654311180114749,0.59,0.607066631317139,0.591290056705475
ARG,Argentina,40893,"Human Capital Index (HCI), Upper Bound (scale 0-1)",Score,0.5993279218673709,0.621,0.627047121524811,0.611715614795685
ARG,Argentina,40894,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",Score,0.624944806098938,0.642,0.6392614245414731,0.624488055706024
ARG,Argentina,40895,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",Score,0.576892852783203,0.602,0.6195193529129029,0.6042118072509771
ARG,Argentina,40896,Fraction of Children Under 5 Not Stunted,%,0.917999982833862,,0.9210000038146969,0.9210000038146969
ARG,Argentina,40897,"Fraction of Children Under 5 Not Stunted, Female",%,0.917999982833862,,0.9210000038146969,0.9210000038146969
ARG,Argentina,40898,"Fraction of Children Under 5 Not Stunted, Male",%,0.917999982833862,,0.9210000038146969,0.9210000038146969
ARG,Argentina,40958,Expected Years of School,Years,12.5897855758667,13.07,12.879523277282699,12.879523277282699
ARG,Argentina,40959,"Expected Years of School, Female",Years,12.9220457077026,13.32,13.0612525939941,13.0612525939941
ARG,Argentina,40960,"Expected Years of School, Male",Years,12.2673854827881,12.83,12.7036781311035,12.7036781311035
ARG,Argentina,40961,Harmonized Test Scores,Score,408.973236083984,424,424.080810546875,408.17263793945295
ARG,Argentina,40962,"Harmonized Test Scores, Female",Score,414.181762695313,421,420.933349609375,406.45266723632795
ARG,Argentina,40963,"Harmonized Test Scores, Male",Score,402.934509277344,427,427.109039306641,409.9423828125
ARG,Argentina,40964,Learning-Adjusted Years of School,Years,8.23821640014648,8.87,8.739133834838869,8.41131019592285
ARG,Argentina,40965,"Learning-Adjusted Years of School, Female",Years,8.56332111358643,8.97,8.79666709899902,8.49405002593994
ARG,Argentina,40966,"Learning-Adjusted Years of School, Male",Years,7.908724784851071,8.77,8.68136882781982,8.33244132995605
ARG,Argentina,40967,Probability of Survival to Age 5,Probability,0.985559582710266,0.9896,0.989577353000641,0.990055024623871
ARG,Argentina,40968,"Probability of Survival to Age 5, Female",Probability,0.9870527386665341,0.9906,0.990525245666504,0.9909628629684449
ARG,Argentina,40969,"Probability of Survival to Age 5, Male",Probability,0.984135448932648,0.9887,0.988674402236938,0.989193558692932
ARM,Armenia,40884,Survival Rate from Age 15-60,Ratio,0.867673754692078,0.8815,0.8835772275924679,0.885818600654602
ARM,Armenia,40885,"Survival Rate from Age 15-60, Female",Ratio,0.916808724403381,0.9268,0.9337150454521179,0.9350944757461551
ARM,Armenia,40886,"Survival Rate from Age 15-60, Male",Ratio,0.810817956924438,0.828,0.824984312057495,0.828158974647522
ARM,Armenia,40887,Human Capital Index (HCI) (scale 0-1),Score,,0.5720000000000001,0.5817259550094599,0.578998804092407
ARM,Armenia,40888,"Human Capital Index (HCI), Female (scale 0-1)",Score,,0.593,0.606254577636719,0.6030985713005071
ARM,Armenia,40889,"Human Capital Index (HCI), Lower Bound (scale 0-1)",Score,,0.5589999999999999,0.571879506111145,0.569216191768646
ARM,Armenia,40890,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",Score,,0.58,0.594755709171295,0.591697335243225
ARM,Armenia,40891,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",Score,,0.536,0.5464206337928771,0.544232785701752
ARM,Armenia,40892,"Human Capital Index (HCI), Male (scale 0-1)",Score,,0.551,0.5581026673316961,0.555849492549896
ARM,Armenia,40893,"Human Capital Index (HCI), Upper Bound (scale 0-1)",Score,,0.583,0.5913321375846861,0.588532090187073
ARM,Armenia,40894,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",Score,,0.605,0.6171332597732541,0.6138870120048521
ARM,Armenia,40895,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",Score,,0.565,0.5692551136016851,0.566902577877045
ARM,Armenia,40896,Fraction of Children Under 5 Not Stunted,%,0.7913683652877809,0.9059999999999999,0.906010508537292,0.906010508537292
ARM,Armenia,40897,"Fraction of Children Under 5 Not Stunted, Female",%,0.8003051877021791,0.9224,0.922400414943695,0.922400414943695
ARM,Armenia,40898,"Fraction of Children Under 5 Not Stunted, Male",%,0.7831715941429142,0.8914,0.891441583633423,0.891441583633423
ARM,Armenia,40958,Expected Years of School,Years,,11.09,11.386802673339801,11.279870033264197
ARM,Armenia,40959,"Expected Years of School, Female",Years,,11.27,11.6258125305176,11.5174217224121
ARM,Armenia,40960,"Expected Years of School, Male",Years,,10.92,11.1737947463989,11.070237159728999
ARM,Armenia,40961,Harmonized Test Scores,Score,,443,442.96945190429705,442.96945190429705
ARM,Armenia,40962,"Harmonized Test Scores, Female",Score,,448,447.720458984375,447.720458984375
ARM,Armenia,40963,"Harmonized Test Scores, Male",Score,,439,438.548522949219,438.548522949219
ARM,Armenia,40964,Learning-Adjusted Years of School,Years,,7.86,8.07040977478027,7.99462080001831
ARM,Armenia,40965,"Learning-Adjusted Years of School, Female",Years,,8.07,8.328183174133299,8.250536918640138
ARM,Armenia,40966,"Learning-Adjusted Years of School, Male",Years,,7.66,7.8404016494751,7.767737865448001
ARM,Armenia,40967,Probability of Survival to Age 5,Probability,0.9814777374267579,0.9874,0.986994922161102,0.987619340419769
ARM,Armenia,40968,"Probability of Survival to Age 5, Female",Probability,0.9835738539695741,0.9888,0.988448441028595,0.9889844655990601
ARM,Armenia,40969,"Probability of Survival to Age 5, Male",Probability,0.9795097708702091,0.986,0.985609233379364,0.9863304495811459
ATG,Antigua and Barbuda,40884,Survival Rate from Age 15-60,Ratio,0.889810144901276,,0.8949596285820011,0.8972075581550601
ATG,Antigua and Barbuda,40885,"Survival Rate from Age 15-60, Female",Ratio,0.917986571788788,,0.9158113598823551,0.917915642261505
ATG,Antigua and Barbuda,40886,"Survival Rate from Age 15-60, Male",Ratio,0.858989775180817,,0.8719079494476322,0.874258518218994
ATG,Antigua and Barbuda,40887,Human Capital Index (HCI) (scale 0-1),Score,,,0.5782169699668879,0.5957038998603821
ATG,Antigua and Barbuda,40888,"Human Capital Index (HCI), Female (scale 0-1)",Score,,,0.597584545612335,0.625670254230499
ATG,Antigua and Barbuda,40889,"Human Capital Index (HCI), Lower Bound (scale 0-1)",Score,,,0.568297505378723,0.5840800404548651
ATG,Antigua and Barbuda,40890,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",Score,,,0.5845379233360289,0.6105955839157099
ATG,Antigua and Barbuda,40891,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",Score,,,0.546115040779114,0.5536665320396421
ATG,Antigua and Barbuda,40892,"Human Capital Index (HCI), Male (scale 0-1)",Score,,,0.559216916561127,0.5675777792930601
ATG,Antigua and Barbuda,40893,"Human Capital Index (HCI), Upper Bound (scale 0-1)",Score,,,0.58822900056839,0.6074146032333371
ATG,Antigua and Barbuda,40894,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",Score,,,0.610243797302246,0.6405097246170041
ATG,Antigua and Barbuda,40895,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",Score,,,0.571450889110565,0.581206917762756
ATG,Antigua and Barbuda,40958,Expected Years of School,Years,,,12.777103424072301,12.967559814453098
ATG,Antigua and Barbuda,40959,"Expected Years of School, Female",Years,,,12.914441108703599,13.299949645996099
ATG,Antigua and Barbuda,40960,"Expected Years of School, Male",Years,,,12.6448287963867,12.651613235473599
ATG,Antigua and Barbuda,40961,Harmonized Test Scores,Score,,,395.897796630859,406.997436523438
ATG,Antigua and Barbuda,40962,"Harmonized Test Scores, Female",Score,,,403.030090332031,417.380493164063
ATG,Antigua and Barbuda,40963,"Harmonized Test Scores, Male",Score,,,389.03884887695295,396.874908447266
ATG,Antigua and Barbuda,40964,Learning-Adjusted Years of School,Years,,,8.09348392486572,8.44442176818848
ATG,Antigua and Barbuda,40965,"Learning-Adjusted Years of School, Female",Years,,,8.327854156494139,8.88182258605957
ATG,Antigua and Barbuda,40966,"Learning-Adjusted Years of School, Male",Years,,,7.87092733383179,8.03377246856689
ATG,Antigua and Barbuda,40967,Probability of Survival to Age 5,Probability,0.990409433841705,,0.9933080077171329,0.993558526039124
ATG,Antigua and Barbuda,40968,"Probability of Survival to Age 5, Female",Probability,0.9913586974143979,,0.9938892722129821,0.994124472141266
ATG,Antigua and Barbuda,40969,"Probability of Survival to Age 5, Male",Probability,0.9895014762878421,,0.9927528500556949,0.993029117584229
AUS,Australia,40884,Survival Rate from Age 15-60,Ratio,0.937242150306702,0.9484,0.9442607760429379,0.94614177942276
AUS,Australia,40885,"Survival Rate from Age 15-60, Female",Ratio,0.9539024829864499,0.9614,0.958792924880981,0.960026323795319
AUS,Australia,40886,"Survival Rate from Age 15-60, Male",Ratio,0.920856237411499,0.9355,0.929815053939819,0.932335913181305
AUS,Australia,40887,Human Capital Index (HCI) (scale 0-1),Score,0.754843771457672,0.8029999999999999,0.7808339595794681,0.770239531993866
AUS,Australia,40888,"Human Capital Index (HCI), Female (scale 0-1)",Score,0.771355628967285,0.805,0.79529595375061,0.7838720679283141
AUS,Australia,40889,"Human Capital Index (HCI), Lower Bound (scale 0-1)",Score,0.748167395591736,0.7929999999999999,0.7715541124343871,0.761949002742767
AUS,Australia,40890,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",Score,0.763750195503235,0.7959999999999999,0.7847794890403751,0.7745032310485841
AUS,Australia,40891,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",Score,0.730910360813141,0.768,0.7545072436332699,0.745822191238403
AUS,Australia,40892,"Human Capital Index (HCI), Male (scale 0-1)",Score,0.738740682601929,0.779,0.7667664289474491,0.75711715221405
AUS,Australia,40893,"Human Capital Index (HCI), Upper Bound (scale 0-1)",Score,0.76158595085144,0.813,0.789870023727417,0.7779680490493771
AUS,Australia,40894,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",Score,0.7793485522270199,0.815,0.805662453174591,0.792926669120789
AUS,Australia,40895,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",Score,0.746360182762146,0.789,0.778917968273163,0.7680993080139159
AUS,Australia,40896,Fraction of Children Under 5 Not Stunted,%,,0.98,,
AUS,Australia,40958,Expected Years of School,Years,12.8842010498047,13.77,13.601443290710401,13.601443290710401
AUS,Australia,40959,"Expected Years of School, Female",Years,12.9267997741699,13.78,13.6202220916748,13.6202220916748
AUS,Australia,40960,"Expected Years of School, Male",Years,12.8437948226929,13.76,13.5834541320801,13.5834541320801
AUS,Australia,40961,Harmonized Test Scores,Score,536.33154296875,524,524.26513671875,515.685363769531
AUS,Australia,40962,"Harmonized Test Scores, Female",Score,540.773620605469,528,528.43408203125,519.6480712890631
AUS,Australia,40963,"Harmonized Test Scores, Male",Score,531.6905517578131,520,520.1119384765631,511.85153198242205
AUS,Australia,40964,Learning-Adjusted Years of School,Years,11.0563249588013,11.55,11.409219741821301,11.222504615783699
AUS,Australia,40965,"Learning-Adjusted Years of School, Female",Years,11.184755325317399,11.65,11.5158233642578,11.3243560791016
AUS,Australia,40966,"Learning-Adjusted Years of School, Male",Years,10.9262790679932,11.45,11.3038673400879,11.1243391036987
AUS,Australia,40967,Probability of Survival to Age 5,Probability,0.995229303836823,0.9965,0.996263206005096,0.996311366558075
AUS,Australia,40968,"Probability of Survival to Age 5, Female",Probability,0.995715498924255,0.9968,0.996598899364471,0.996642529964447
AUS,Australia,40969,"Probability of Survival to Age 5, Male",Probability,0.994768142700195,0.9962,0.995942533016205,0.995994746685028
AUT,Austria,40884,Survival Rate from Age 15-60,Ratio,0.9274316430091859,0.9359999999999999,0.9363586306571959,0.937184393405914
AUT,Austria,40885,"Survival Rate from Age 15-60, Female",Ratio,0.951332986354828,0.9581,0.95574688911438,0.956844329833984
AUT,Austria,40886,"Survival Rate from Age 15-60, Male",Ratio,0.9039676189422611,0.9145,0.917463302612305,0.91805362701416
AUT,Austria,40887,Human Capital Index (HCI) (scale 0-1),Score,0.7377821207046509,0.7929999999999999,0.768673121929169,0.746739745140076
AUT,Austria,40888,"Human Capital Index (HCI), Female (scale 0-1)",Score,0.7531728148460392,0.7979999999999999,0.779697299003601,0.7611902952194209
AUT,Austria,40889,"Human Capital Index (HCI), Lower Bound (scale 0-1)",Score,0.72965145111084,0.7829999999999999,0.7597227692604059,0.7371965646743771
AUT,Austria,40890,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",Score,0.7418394684791559,0.787,0.769048452377319,0.749268651008606
AUT,Austria,40891,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",Score,0.712619543075562,0.773,0.746416747570038,0.720291674137115
AUT,Austria,40892,"Human Capital Index (HCI), Male (scale 0-1)",Score,0.722867131233215,0.785,0.7582281231880191,0.7330198884010309
AUT,Austria,40893,"Human Capital Index (HCI), Upper Bound (scale 0-1)",Score,0.7461281418800351,0.8029999999999999,0.7773160338401791,0.7565202116966251
AUT,Austria,40894,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",Score,0.765013694763184,0.809,0.7901272177696229,0.773455381393433
AUT,Austria,40895,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",Score,0.7331805229187008,0.7979999999999999,0.770269393920898,0.745951056480408
AUT,Austria,40958,Expected Years of School,Years,13.462898254394501,13.89,13.427598953247099,13.427598953247099
AUT,Austria,40959,"Expected Years of School, Female",Years,13.4783544540405,13.79,13.4668941497803,13.4668941497803
AUT,Austria,40960,"Expected Years of School, Male",Years,13.448147773742699,13.94,13.390427589416499,13.390427589416499
AUT,Austria,40961,Harmonized Test Scores,Score,503.468139648438,525,524.8326416015631,507.63937377929705
